Seed,Time,Episode,Reward
8,0.5764844417572021,0,-32.18551154087945
2,0.6757369041442871,0,-33.43405778224584
0,0.8035011291503906,0,-33.286599005764806
9,0.8035833835601807,0,-33.68203429585003
5,0.8828351497650146,0,-33.504551507385806
1,0.932201623916626,0,-32.329796056449254
7,0.9263472557067871,0,-33.485593138478826
3,0.9423894882202148,0,-19.787883296664887
6,0.9803040027618408,0,-33.47979988545633
4,1.0056304931640625,0,-33.35730759841646
2,187.45559644699097,1000,-33.17142014505832
8,194.98521780967712,1000,-32.53700423873504
9,195.53177690505981,1000,-33.720228308859575
5,207.13794112205505,1000,-32.06991497084686
1,208.2295684814453,1000,-32.54496547039695
6,209.37368202209473,1000,-33.18401052336644
7,209.98212432861328,1000,-30.251533620153385
3,215.06149101257324,1000,-19.45704179636495
4,216.26065397262573,1000,-30.38996673278226
0,224.98503756523132,1000,-32.93992474303134
8,403.87221670150757,2000,-32.92917453530048
2,412.621634721756,2000,-33.17337667532524
6,414.9763116836548,2000,-33.20658043262589
7,419.7677655220032,2000,-29.433243763933316
1,422.5218868255615,2000,-32.475515911613435
9,424.18005299568176,2000,-33.73344215965394
0,424.8164749145508,2000,-32.65787953207812
4,430.13692116737366,2000,-28.672708097775757
3,430.74652647972107,2000,-20.03050492308348
5,431.85851073265076,2000,-31.56991811960495
6,632.9725251197815,3000,-33.18200474908373
8,633.5493969917297,3000,-33.11586410906223
3,638.7666966915131,3000,-19.979394799788523
5,640.0884475708008,3000,-31.254848744425352
0,640.3801002502441,3000,-32.83595003225507
2,640.4450488090515,3000,-33.16611687169725
7,643.2411637306213,3000,-28.914197682839728
1,647.1464126110077,3000,-32.582195629439106
9,655.3194744586945,3000,-33.727345621792644
4,656.5271368026733,3000,-27.927796684928385
8,838.3885662555695,4000,-32.96730734878984
6,840.3608102798462,4000,-33.1344505871852
2,841.0401060581207,4000,-33.130930216302204
0,846.639328956604,4000,-32.837449555528764
5,847.4760065078735,4000,-30.852003168774164
1,849.8407716751099,4000,-32.65177238666923
7,849.969259262085,4000,-29.1533921540978
3,850.9956569671631,4000,-20.101863206430906
4,862.2155227661133,4000,-27.951122049905152
9,864.2078411579132,4000,-33.71329297586513
8,1030.1776423454285,5000,-32.924555776091786
6,1039.284975528717,5000,-33.16720027579758
0,1040.4201028347015,5000,-32.85625523990617
1,1045.3830225467682,5000,-32.76877466607215
2,1056.9531662464142,5000,-33.144147747195596
4,1063.35555768013,5000,-26.870327010812634
7,1064.9947731494904,5000,-27.894529981101556
9,1070.2278399467468,5000,-33.70550295834057
3,1070.5954434871674,5000,-19.770724483604628
5,1080.328863620758,5000,-29.899700338899347
8,1308.5714793205261,6000,-32.272335868727886
0,1308.978859424591,6000,-32.51172328643582
1,1312.3732025623322,6000,-32.77491269542693
6,1313.7270340919495,6000,-33.154771498105
2,1327.4205479621887,6000,-33.124840218665696
3,1342.2640392780304,6000,-20.179971941303034
7,1344.3370344638824,6000,-27.972504037103246
4,1344.7989828586578,6000,-26.491619598373926
5,1364.8270423412323,6000,-29.52245346896
9,1365.2328081130981,6000,-33.717431748275175
6,1592.924092054367,7000,-33.189196930723604
0,1598.3838486671448,7000,-31.45356061493437
1,1599.386631011963,7000,-32.773706320581375
8,1609.7165269851685,7000,-32.44675798036905
2,1615.6307208538055,7000,-33.15986807453106
3,1623.6884968280792,7000,-20.241816137533494
7,1629.3789796829224,7000,-27.42788503494363
9,1640.8490328788757,7000,-33.7244841153901
4,1641.767382144928,7000,-25.614969102018676
5,1647.4547002315521,7000,-28.29334980868439
6,1875.860821723938,8000,-33.202111522050544
0,1881.9347376823425,8000,-25.56902230340002
8,1883.980967283249,8000,-32.667965187851586
1,1888.2657732963562,8000,-32.760588480214906
2,1889.8211240768433,8000,-33.1572179937543
9,1898.568546295166,8000,-33.732180966108466
3,1911.952092885971,8000,-19.30545943184293
4,1919.630522966385,8000,-25.482569397754368
5,1920.497836112976,8000,-27.7847443702116
7,1920.660328388214,8000,-26.703413625950365
8,2152.776890039444,9000,-31.972301718979494
6,2153.5806171894073,9000,-33.192262179460286
0,2153.7694957256317,9000,-25.205366189063174
2,2168.573230743408,9000,-33.154207957972154
9,2168.577455997467,9000,-33.74323984815885
1,2175.98987865448,9000,-32.77432218443573
7,2188.5842461586,9000,-26.27757287156335
5,2191.8938601017,9000,-27.254776448971437
3,2194.343180179596,9000,45.17689915492581
4,2197.1471948623657,9000,-25.25664325105832
6,2424.35227894783,10000,-33.101948044318895
0,2438.3835668563843,10000,-24.43906576983404
2,2444.1699192523956,10000,-33.05404056308495
8,2447.9158222675323,10000,-32.1540302464509
9,2449.4016914367676,10000,-33.737689199401956
1,2452.1806831359863,10000,-32.853191058988386
3,2459.829171895981,10000,-21.094063984692834
5,2468.633597612381,10000,-27.44131631535637
7,2473.6067955493927,10000,-26.599200185096628
4,2473.8597457408905,10000,-24.781766258884442
6,2699.5628790855408,11000,-33.17598898351061
2,2722.767561674118,11000,-33.156885085245285
0,2725.1722707748413,11000,-23.281001447299673
9,2725.764312982559,11000,-33.74023696774295
1,2731.5544712543488,11000,-32.77575738393681
8,2732.5914447307587,11000,-31.87674112381805
7,2736.364246606827,11000,-26.184903039634754
3,2747.8995752334595,11000,-21.16214989452656
4,2751.3326382637024,11000,-24.163216219366415
5,2763.808680534363,11000,-27.049542783830454
6,2979.591264486313,12000,-33.17278357552192
0,3004.39719581604,12000,-23.46778097421402
9,3004.4246525764465,12000,-33.729150045295206
2,3006.793266773224,12000,-33.14032634148042
8,3011.4852244853973,12000,-31.676550398472457
1,3016.8985521793365,12000,-32.71223128384233
4,3024.511396884918,12000,-21.778002459909843
7,3027.155221223831,12000,-25.189802819238416
3,3029.1518280506134,12000,-21.118560685065585
5,3047.8005607128143,12000,-25.764924526820952
6,3260.307272672653,13000,-33.1717428674204
0,3273.6036517620087,13000,-23.231422889203436
2,3287.7910153865814,13000,-33.17554908809774
9,3287.864734888077,13000,-33.72392491007839
8,3288.2695326805115,13000,-31.72513219600515
1,3293.2243554592133,13000,-32.71335331890742
3,3295.632714986801,13000,-21.15165664018364
4,3306.3854246139526,13000,-21.211592891923193
7,3314.03799033165,13000,-21.30710826925717
5,3342.2799685001373,13000,-26.99543380070773
6,3538.387838125229,14000,-33.157138388996394
0,3544.5358481407166,14000,-23.324505357300023
1,3563.1592190265656,14000,-32.71887835896548
2,3567.1133127212524,14000,-33.135447924920875
8,3573.7242851257324,14000,-32.28498382882497
9,3577.863145828247,14000,-33.73463935348089
3,3579.4258468151093,14000,-21.158760033376744
4,3592.1647102832794,14000,-21.455095858676337
7,3599.6103854179382,14000,-21.21795331311084
5,3627.550552845001,14000,-25.392889669456952
0,3810.661153316498,15000,-22.741189778560155
6,3817.019743680954,15000,-33.15508543212664
8,3835.873323917389,15000,-32.04711973108216
1,3847.887176513672,15000,-32.678452255529635
9,3856.1034972667694,15000,-33.725939504682266
2,3859.9532809257507,15000,-33.13907692642295
3,3865.0634305477142,15000,-21.166573109747187
7,3875.2162561416626,15000,-21.27303766395261
4,3875.984607219696,15000,-21.23361912487799
5,3905.5615310668945,15000,-24.738995078978906
